datetime,author_name,message,cleaned_message,label
2024-10-07 10:18:18,epsilon_02,"nonton dari rumah jalah, malas macet2",nonton dari rumah jalah malas macet2,0
2024-10-07 10:18:44,Iann_febri,reng ponorogo udah tampil belum ya teman* ?,reng ponorogo udah tampil belum ya teman,0
2024-10-07 10:21:05,S6GH channel.,acara intinya nanti jam 19.00 ya gaes ya,acara intinya nanti jam 1900 ya gaes ya,0
2024-10-07 10:25:54,Hellen Nurdiana,"selamat ulang tahun Jogjaku tercinta, terimakasih sudah menjadi kota penuh kenangan",selamat ulang tahun jogjaku tercinta terimakasih sudah menjadi kota penuh kenangan,0
2024-10-07 10:32:06,wi arsa,jogja memang istimewa,jogja memang istimewa,0
2024-10-07 10:32:21,Cleiola Khalifaardianingtyas,otw ke tugu,otw ke tugu,0
2024-10-07 10:32:54,Cleiola Khalifaardianingtyas,untung rumah ku deket :loudly_crying_face:,untung rumah ku deket,0
2024-10-07 10:33:47,Anggi Satria,adzan2,adzan2,0
2024-10-07 10:34:13,Cokro806 Jogja,trimakasih tribun Jogja saya bisa lihat gak desak2 dan gak harus ketugu,trimakasih tribun jogja saya bisa lihat gak desak2 dan gak harus ketugu,0
2024-10-07 10:34:32,Adhitt bluess,adzan boss adzan,adzan boss adzan,0
2024-10-07 10:34:42,Cleiola Khalifaardianingtyas,kebagian paling depan :loudly_crying_face:,kebagian paling depan,0
2024-10-07 10:35:39,Cleiola Khalifaardianingtyas,ak bakalan tunggu di sini buat liat wayang :loudly_crying_face:,ak bakalan tunggu di sini buat liat wayang,0
2024-10-07 10:35:57,Cleiola Khalifaardianingtyas,beli jajan dulu laper :smiling_face_with_tear:,beli jajan dulu laper,0
2024-10-07 10:36:39,Zahratushafi 01,Adzan monggo solat rumiyen,adzan monggo solat rumiyen,0
2024-10-07 10:36:41,Mejiku Hibiniu,parkirnya dimana ya gaes??,parkirnya dimana ya gaes,0
2024-10-07 10:37:22,ROHMAN TRIONO,harus y ad videotron biar bisa liat di jauhh,harus y ad videotron biar bisa liat di jauhh,0
2024-10-07 10:37:31,Bopan Irfan,"muleh wae mas nonton live tribun,macet dan desak desakan",muleh wae mas nonton live tribunmacet dan desak desakan,0
2024-10-07 10:38:15,unknown,aq liat dri sini ja,aq liat dri sini ja,0
2024-10-07 10:39:16,Arif Apriyatno Rkstudio,infonya yg dilokasi :grinning_face_with_sweat:,infonya yg dilokasi,0
2024-10-07 10:39:55,unknown,yg di lokasi pooolll rame ne,yg di lokasi pooolll rame ne,0
2024-10-07 10:39:58,Kenzo Reyno,kapan diwiwiti,kapan diwiwiti,0
2024-10-07 10:40:02,Anny Soediono,sukses...wjnj2024,sukseswjnj2024,0
2024-10-07 10:40:37,Arif Apriyatno Rkstudio,suwun infone mas wkwk,suwun infone mas wkwk,0
2024-10-07 10:41:27,Boedy Sosro,ini dimulai siaran livenya kapan ?,ini dimulai siaran livenya kapan,0
2024-10-07 10:42:27,Melky Moody,gasss biar tambah kebek:grinning_face_with_smiling_eyes:,gasss biar tambah kebek,0
2024-10-07 10:43:26,Hani Viano,kok blm mulai nie,kok blm mulai nie,0
2024-10-07 10:43:38,Febri Hardika,yogyakarta istimewa,yogyakarta istimewa,0
2024-10-07 10:43:56,sitimuslihah 474,padahal wes mulai kawit jam 4 mau,padahal wes mulai kawit jam 4 mau,0
2024-10-07 10:43:57,TR_Arka19,ini kapan mulainya?,ini kapan mulainya,0
2024-10-07 10:44:12,Kuta Marga,Mana band nya dulu ,mana band nya dulu,0
2024-10-07 10:44:19,Novita Nafisatul maulida,kapan mulai nya ka,kapan mulai nya ka,0
2024-10-07 10:44:26,TR_Arka19,lagi persiapan,lagi persiapan,0
2024-10-07 10:44:42,Wadipta Lingga,nanti habis isya,nanti habis isya,0
2024-10-07 10:44:55,Wadipta Lingga,jam 19.00,jam 1900,0
2024-10-07 10:44:59,Stress? Yes! Sirr,assalamualaikum,assalamualaikum,0
2024-10-07 10:45:07,TR_Arka19,waalaikumsalam,waalaikumsalam,0
2024-10-07 10:45:11,Angga bayu Prasetyo,kangen Jogja ga bisa nonton langsung,kangen jogja ga bisa nonton langsung,0
2024-10-07 10:45:14,Harno Harno,AYOOOO GASKEN LIVE,ayoooo gasken live,0
2024-10-07 10:45:27,Harno Harno,START HABIS ISYA,start habis isya,0
2024-10-07 10:45:34,tiyas henie,parkirny dmn nih??,parkirny dmn nih,0
2024-10-07 10:45:42,Laras kusuma Maheswari,kangen ke jogja,kangen ke jogja,0
2024-10-07 10:45:58,tiyas henie,klo mau parkir dmn??,klo mau parkir dmn,0
2024-10-07 10:45:59,ArkanBintang🇵🇸,awas awas saytan,awas awas saytan,0
2024-10-07 10:46:09,tiyas henie,klo mau parkir dmn??,klo mau parkir dmn,0
2024-10-07 10:46:17,Wadipta Lingga,pasukan turah turah kuota nonton live ,pasukan turah turah kuota nonton live,0
2024-10-07 10:46:34,tiyas henie,klo mau parkir dmn??,klo mau parkir dmn,0
2024-10-07 10:46:48,Wadipta Lingga,mobil atau montor,mobil atau montor,0
2024-10-07 10:47:05,Jingga Pramitha,menyala jogja:fire::fire:,menyala jogja,0
2024-10-07 10:47:15,Yance Ertanto,Jogja ku Istimewa...,jogja ku istimewa,0
2024-10-07 10:47:21,unknown,sugeng ambal warsa kotaku jogja,sugeng ambal warsa kotaku jogja,0
2024-10-07 10:47:42,ItzMe_FailzV,Kapan Mulai Nieh :smiling_face_with_hearts:,kapan mulai nieh,0
2024-10-07 10:47:47,Wadipta Lingga,mobil abubakar ali montor utara tugu jogja ,mobil abubakar ali montor utara tugu jogja,0
2024-10-07 10:47:51,Romi,mulai jam berapa?,mulai jam berapa,0
2024-10-07 10:47:52,Es teler sultan 88 ,habis isya,habis isya,0
2024-10-07 10:47:58,Ain ni ain,jam brp mulainyaaaa,jam brp mulainyaaaa,0
2024-10-07 10:48:25,Darmo Sanjaya,kemarin ulang tahun gunung kidul. sekarang jogja. DIY memang istimewa,kemarin ulang tahun gunung kidul sekarang jogja diy memang istimewa,0
2024-10-07 10:48:31,Eko Nugroho,HBD JOGJA,hbd jogja,0
2024-10-07 10:48:44,Ellysia Stiawan,selamat ulang tahu Jogja aku semoga Jogja semakin berubah semoga Jogja tetap istimewa Yogyakarta,selamat ulang tahu jogja aku semoga jogja semakin berubah semoga jogja tetap istimewa yogyakarta,0
2024-10-07 10:48:45,Eni Dozan,jam 18.00 kayaknya baru mulai band. kalo di Randown gitu,jam 1800 kayaknya baru mulai band kalo di randown gitu,0
2024-10-07 10:48:58,Pipiet Agustin,ada temenku disitu,ada temenku disitu,0
2024-10-07 10:49:04,Pipiet Agustin,:face-blue-covering-eyes:,facebluecoveringeyes,0
2024-10-07 10:49:14,ItzMe_FailzV,:face-blue-smiling::face-blue-smiling::face-blue-smiling:,facebluesmilingfacebluesmilingfacebluesmiling,0
2024-10-07 10:49:26,Pipiet Agustin,selamat ulang tahun jogjanya Indonesia,selamat ulang tahun jogjanya indonesia,0
2024-10-07 10:49:31,Wadipta Lingga,maghriban dulu gaess,maghriban dulu gaess,0
2024-10-07 10:49:47,Pipiet Agustin,kalian ikut lihat ga,kalian ikut lihat ga,0
2024-10-07 10:49:52,Dwi Parmiyati,kapan mulai bos?,kapan mulai bos,0
2024-10-07 10:49:55,Pipiet Agustin,di tugu,di tugu,0
2024-10-07 10:49:57,Maulinda Albina,mulai jam berapa?,mulai jam berapa,0
2024-10-07 10:50:05,Eko Nugroho,JAM 4 TAPI PEMBUKAAN,jam 4 tapi pembukaan,0
2024-10-07 10:50:08,Dolars Costume,halo,halo,0
2024-10-07 10:50:08,Pipiet Agustin,18.30,1830,0
2024-10-07 10:50:11,Bunga Sidarta,blm mulai?,blm mulai,0
2024-10-07 10:50:23,Dolars Costume,udah,udah,0
2024-10-07 10:50:23,Pipiet Agustin,kalo ga salah,kalo ga salah,0
2024-10-07 10:50:29,Eko Nugroho,PARKIRAN PENUH,parkiran penuh,0
2024-10-07 10:50:29,Theresia Angela Berlin,tadi cuma tari tari ya?,tadi cuma tari tari ya,0
2024-10-07 10:50:35,Darmo Sanjaya,@pipiet macet jalan,pipiet macet jalan,0
2024-10-07 10:50:45,Pipiet Agustin,oya,oya,0
2024-10-07 10:50:49,Eko Nugroho,mulai Jam 6,mulai jam 6,0
2024-10-07 10:51:02,Pipiet Agustin,yang lihat siapa hayo,yang lihat siapa hayo,0
2024-10-07 10:51:12,Eni Dozan,kalo di Randown jam 18.00 mulai,kalo di randown jam 1800 mulai,0
2024-10-07 10:51:13,Pipiet Agustin,aku Aisyah,aku aisyah,0
2024-10-07 10:51:18,unknown,met taun juga buat adeku,met taun juga buat adeku,0
2024-10-07 10:51:20,Eko Nugroho,PARKIR 5000,parkir 5000,0
2024-10-07 10:51:30,Pipiet Agustin,mahal bet,mahal bet,0
2024-10-07 10:51:46,Eko Nugroho,VIP 500 RIBU,vip 500 ribu,1
2024-10-07 10:52:10,Ade Lia ,SELAMAT HARI JADI KOTA YOGYAKARTA 268 — sukses selalu Yogyakarta. Sukse semua buat warga jogja dan orang orang yang merantau di jogja. Love :red_heart::red_heart:,selamat hari jadi kota yogyakarta 268  sukses selalu yogyakarta sukse semua buat warga jogja dan orang orang yang merantau di jogja love,0
2024-10-07 10:52:31,Pipiet Agustin,siapa yang mau jadi temen i,siapa yang mau jadi temen i,0
2024-10-07 10:52:39,Darmo Sanjaya,biasa parkir motor kalau pas ada iven 5rb,biasa parkir motor kalau pas ada iven 5rb,0
2024-10-07 10:52:56,Darmo Sanjaya,serlok Aisah,serlok aisah,0
2024-10-07 10:53:05,Pipiet Agustin,apanya,apanya,0
2024-10-07 10:53:21,Dani Suyanto,g adil,g adil,0
2024-10-07 10:53:28,Eko Nugroho,KLO MAU LIAT PARKIR DI MD,klo mau liat parkir di md,0
2024-10-07 10:53:29,Darmo Sanjaya,katanyaau di tmani,katanyaau di tmani,0
2024-10-07 10:53:40,Dani Suyanto,apa² pke tiket skrg,apa pke tiket skrg,0
2024-10-07 10:53:43,Pipiet Agustin,tanya yg disana,tanya yg disana,0
2024-10-07 10:53:47,rtnoo_95,JOGJA ISTIMEWA,jogja istimewa,0
2024-10-07 10:53:48,Dani Suyanto,d jual belikan,d jual belikan,0
2024-10-07 10:53:56,zia celesta,murahlah parkir 5ribu .. parkir motor .m,murahlah parkir 5ribu  parkir motor m,0
2024-10-07 10:53:57,Muhammad Iqbal Al-Habib,sampe jam brp,sampe jam brp,0
2024-10-07 10:54:05,haloo..,"mending nonton livestreaming nya aja dari pada liat langsung pada sempit sempitan, ketutupan, ga bisa liat semuanya, males bayar parkir:face_with_hand_over_mouth:",mending nonton livestreaming nya aja dari pada liat langsung pada sempit sempitan ketutupan ga bisa liat semuanya males bayar parkir,0
2024-10-07 10:54:09,Darmo Sanjaya,masih bisa kah sampai sana,masih bisa kah sampai sana,0
2024-10-07 10:54:11,Pipiet Agustin,temen online di YouTube.bukan kesana:face_with_hand_over_mouth:,temen online di youtubebukan kesana,0
2024-10-07 10:54:43,Eko Nugroho,ADA PESTA KEMBANG API NYA LHO,ada pesta kembang api nya lho,0
2024-10-07 10:54:51,Pipiet Agustin,aku kelas empat,aku kelas empat,0
2024-10-07 10:54:52,haloo..,MENDING NONTON LIVESTREAM SOALNYA JALAN KE JOGJA UDAH DI PENUH,mending nonton livestream soalnya jalan ke jogja udah di penuh,0
2024-10-07 10:54:55,Darmo Sanjaya,woo tak kira di lokasi,woo tak kira di lokasi,0
2024-10-07 10:54:59,Aloysius Daniel,gak bisa pulangg.. aduhh,gak bisa pulangg aduhh,0
2024-10-07 10:55:06,Es teler sultan 88 ,aku kelas 1,aku kelas 1,0
2024-10-07 10:55:08,Pipiet Agustin,maaf :grinning_squinting_face:,maaf,0
2024-10-07 10:55:20,haloo..,the most correct way to watch live streaming,the most correct way to watch live streaming,0
2024-10-07 10:55:24,Pipiet Agustin,Darmo Sanjaya kelas Berapa,darmo sanjaya kelas berapa,0
2024-10-07 10:55:27,Darmo Sanjaya,kelas bawah menengah,kelas bawah menengah,0
2024-10-07 10:55:30,Eni Dozan,puncak acara masih sampai malam. gak usah pulang:face-blue-smiling:,puncak acara masih sampai malam gak usah pulangfacebluesmiling,0
2024-10-07 10:55:41,Pipiet Agustin,hah berapa itu,hah berapa itu,0
2024-10-07 10:55:44,Ed Saryati12,kalau pas malam minggu kemarin hari jadi gunungkidul,kalau pas malam minggu kemarin hari jadi gunungkidul,0
2024-10-07 10:55:51,Darmo Sanjaya,:face-blue-smiling::face-blue-smiling::face-blue-smiling:,facebluesmilingfacebluesmilingfacebluesmiling,0
2024-10-07 10:56:05,Es teler sultan 88 ,gunung kidul kemarin,gunung kidul kemarin,0
2024-10-07 10:56:07,Pipiet Agustin,kamu cowo kan,kamu cowo kan,0
2024-10-07 10:56:09,Nitha,mulai nya jam berapa ini,mulai nya jam berapa ini,0
2024-10-07 10:56:21,Pipiet Agustin,18:30,1830,0
2024-10-07 10:56:21,Donita Psika,Hallo inggil,hallo inggil,0
2024-10-07 10:56:27,Diaz AL Fatih,bang masih lama gak,bang masih lama gak,0
2024-10-07 10:56:39,Pipiet Agustin,tunggu aja,tunggu aja,0
2024-10-07 10:56:41,Darmo Sanjaya,kamu cewe juga khan,kamu cewe juga khan,0
2024-10-07 10:56:48,ItzMe_FailzV,Wow,wow,0
2024-10-07 10:56:51,Ade Lia ,SELAMAT HARI JADI KOTA YOGYAKARTA— dari ARSY ADARA KYRANI PUTRI HADININGRAT SD MUHAMMADIYAH JOGOKARIYAN ,selamat hari jadi kota yogyakarta dari arsy adara kyrani putri hadiningrat sd muhammadiyah jogokariyan,0
2024-10-07 10:56:56,Pipiet Agustin,ya lah nama gw aja Aisyah,ya lah nama gw aja aisyah,0
2024-10-07 10:56:59,Galuh Kartika,:face-purple-crying::face-purple-crying:,facepurplecryingfacepurplecrying,0
2024-10-07 10:57:22,Pipiet Agustin,Darmo Sanjaya .kita mulai akur ya,darmo sanjaya kita mulai akur ya,0
2024-10-07 10:57:23,Jogja Istimewa,jaya,jaya,0
2024-10-07 10:57:26,Fessing Victor,katanya sih 18:00,katanya sih 1800,0
2024-10-07 10:57:28,Darmo Sanjaya,Aisyah,aisyah,0
2024-10-07 10:57:30,Eni Dozan,jam 18.00-18.30 encore band,jam 18001830 encore band,0
2024-10-07 10:57:33,Ed Saryati12,yang pasti kalau gunungkidul meriah pasti jogja semakin meriahhhhh,yang pasti kalau gunungkidul meriah pasti jogja semakin meriahhhhh,0
2024-10-07 10:57:33,Dolars Costume,halo,halo,0
2024-10-07 10:57:40,Pipiet Agustin,maap kalo salah,maap kalo salah,0
2024-10-07 10:57:47,Shally Hafa,Tdi kok kaya dah mulai nari2,tdi kok kaya dah mulai nari2,0
2024-10-07 10:57:50,Dolars Costume,ini masih lama ya,ini masih lama ya,0
2024-10-07 10:57:58,Juli Asih,aku meh nonton tapi rarwti tempat parki e,aku meh nonton tapi rarwti tempat parki e,0
2024-10-07 10:58:08,Pipiet Agustin,kamu dipanggil siapa Darmo sanjaya,kamu dipanggil siapa darmo sanjaya,0
2024-10-07 10:58:12,Ivan putra,parkir mcd,parkir mcd,0
2024-10-07 10:58:13,Rian Ananto,ah males ada kelas malam,ah males ada kelas malam,0
2024-10-07 10:58:15,zia celesta,parkir MCD paling wes kebak,parkir mcd paling wes kebak,0
2024-10-07 10:58:16,Ed Saryati12,aku ikut,aku ikut,0
2024-10-07 10:58:22,Ed Saryati12,pawai,pawai,0
2024-10-07 10:58:25,Ivan putra,hoo ,hoo,0
2024-10-07 10:58:26,Dolars Costume,ini masih lama ya,ini masih lama ya,0
2024-10-07 10:58:27,ItzMe_FailzV,Selamat Ulang Tahun Kota Yogyakarta Yang Ke- 768:partying_face:,selamat ulang tahun kota yogyakarta yang ke 768,0
2024-10-07 10:58:34,Pipiet Agustin,sopo seng wong jowo,sopo seng wong jowo,0
2024-10-07 10:58:39,Keysha Alisya,yuhuu,yuhuu,0
2024-10-07 10:58:40,Darmo Sanjaya,info parkir motor yg blm full,info parkir motor yg blm full,0
2024-10-07 10:58:41,Yance Ertanto,Kamar tidur,kamar tidur,0
2024-10-07 10:58:45,Juli Asih,nek ngegrab tekan bengi aku seng Wedi wkwwk,nek ngegrab tekan bengi aku seng wedi wkwwk,0
2024-10-07 10:58:46,Ed Saryati12,aku,aku,0
2024-10-07 10:58:47,mikhailaluvenaagrisya,pgn nonton bali kerjo jam 9 i pie,pgn nonton bali kerjo jam 9 i pie,0
2024-10-07 10:58:57,Ed Saryati12,halo,halo,0
2024-10-07 10:59:05,ItzMe_FailzV,Eh Salah Maksudnya 268 :partying_face:,eh salah maksudnya 268,0
2024-10-07 10:59:08,SANDICUY33,bukan 768 ya..268,bukan 768 ya268,0
2024-10-07 10:59:13,Ivan putra,jam 9 wes meh rampung ya ini wkwkw,jam 9 wes meh rampung ya ini wkwkw,0
2024-10-07 10:59:25,Darmo Sanjaya,Aisyah aku di xt square jogja,aisyah aku di xt square jogja,0
2024-10-07 10:59:30,SANDICUY33,bukann jam 9..jam 10,bukann jam 9jam 10,0
2024-10-07 10:59:33,Pipiet Agustin,@DARMO SANJAYA. Kamu kelas berapa aku blm ngerti:socialdist:,darmo sanjaya kamu kelas berapa aku blm ngerti,0
2024-10-07 10:59:40,Yance Ertanto,selamat ulang tahun jongja ke 268 dari SD muhamadiyah suronatan dari yanas,selamat ulang tahun jongja ke 268 dari sd muhamadiyah suronatan dari yanas,0
2024-10-07 10:59:44,Pipiet Agustin,oke,oke,0
2024-10-07 10:59:47,Shally Hafa,Lah aq d xt square,lah aq d xt square,0
2024-10-07 11:00:14,Pipiet Agustin,berarti kamu SMP 3,berarti kamu smp 3,0
2024-10-07 11:00:25,Pipiet Agustin,kaget ndengernya,kaget ndengernya,0
2024-10-07 11:00:32,Pipiet Agustin,gw masih bocil,gw masih bocil,0
2024-10-07 11:01:01,Darmo Sanjaya,@shallyHafa masa,shallyhafa masa,0
2024-10-07 11:01:05,Pipiet Agustin,aku nga di ijin mama aku,aku nga di ijin mama aku,0
2024-10-07 11:01:11,Dhiyas Faturrahman,xt kan custom fest motor,xt kan custom fest motor,0
2024-10-07 11:01:43,Adenaa,mulai 18.30 y?,mulai 1830 y,0
2024-10-07 11:01:57,Pipiet Agustin,ya adena,ya adena,0
2024-10-07 11:02:56,arif ramadhan,"siapa yg tinggal di Jogja di sini pengen ke sana tapi ga jadi karena ga ada yg nganter kalo sama kakak pada pergi sama temennya ke bioskop,saya saya :pensive_face::grinning_face_with_sweat: Selamat ulang tahun Jogja",siapa yg tinggal di jogja di sini pengen ke sana tapi ga jadi karena ga ada yg nganter kalo sama kakak pada pergi sama temennya ke bioskopsaya saya  selamat ulang tahun jogja,0
2024-10-07 11:03:01,Darmo Sanjaya,bocil di larang coment,bocil di larang coment,0
2024-10-07 11:03:04,Pipiet Agustin,maaf nama aku Aisyah humaira.maaf kalo aku gj dari tadi:smiling_face_with_tear::pensive_face:,maaf nama aku aisyah humairamaaf kalo aku gj dari tadi,0
2024-10-07 11:03:22,Rafellio Adjio Rajendra,mas aku ulang tahun hari ini,mas aku ulang tahun hari ini,0
2024-10-07 11:03:25,Indah Aryoprawiro,indah magelang nyimak,indah magelang nyimak,0
2024-10-07 11:03:31,Galuh Cahyani,parkir arah barat rama sakti masih agak longgar,parkir arah barat rama sakti masih agak longgar,0
2024-10-07 11:03:36,Pipiet Agustin,kamu ngelarang aku,kamu ngelarang aku,0
2024-10-07 11:03:44,BP Galery,wkwkw banyak bocil,wkwkw banyak bocil,0
2024-10-07 11:03:54,Pipiet Agustin,wah beruntung yang ultah sekarang,wah beruntung yang ultah sekarang,0
2024-10-07 11:04:01,Rafellio Adjio Rajendra,apalah soksik,apalah soksik,0
2024-10-07 11:04:02,Darmo Sanjaya,macet dari baratnya,macet dari baratnya,0
2024-10-07 11:04:10,Rafellio Adjio Rajendra,wkwkwkkwk,wkwkwkkwk,0
2024-10-07 11:04:10,Pipiet Agustin,yaudah aku keluar aja,yaudah aku keluar aja,0
2024-10-07 11:04:16,ItzMe_FailzV,Woww :partying_face:,woww,0
2024-10-07 11:04:16,Indah Aryoprawiro,selamat ultah Yogyakarta.. tetap keren selamanya,selamat ultah yogyakarta tetap keren selamanya,0
2024-10-07 11:04:17,Walking daily,penuh banget,penuh banget,0
2024-10-07 11:04:21,Wandri Ramadhan,Tahun lalu kami disini... Skrg sudah beda Kota.. :folded_hands::two_hearts: Jogjakarta di Hati,tahun lalu kami disini skrg sudah beda kota  jogjakarta di hati,0
2024-10-07 11:04:24,Adenaa,di rayain yg ultah hari ini,di rayain yg ultah hari ini,0
2024-10-07 11:04:29,Rafellio Adjio Rajendra,ulang tahun di ucapin selamat Jogja wkwkwkwkwkk,ulang tahun di ucapin selamat jogja wkwkwkwkwkk,0
2024-10-07 11:04:30,Pipiet Agustin,males aku sama kalian,males aku sama kalian,0
2024-10-07 11:04:35,Darmo Sanjaya,jangan ya dek ya,jangan ya dek ya,0
2024-10-07 11:04:42,BP Galery,apalah pipit nih,apalah pipit nih,0
2024-10-07 11:04:43,arif ramadhan,selamat ulang tahun' kak untuk rafaellio :grinning_face_with_sweat:,selamat ulang tahun kak untuk rafaellio,0
2024-10-07 11:04:49,Darmo Sanjaya,dek aisyah,dek aisyah,0
2024-10-07 11:04:55,Rafellio Adjio Rajendra,aku ultah hari ini,aku ultah hari ini,0
2024-10-07 11:05:02,Galuh Cahyani,arah barat macet?,arah barat macet,0
2024-10-07 11:05:15,Jonx Channel,sama om aja dek sini @pipiet:person-turqouise-waving::face-blue-smiling:,sama om aja dek sini pipietpersonturqouisewavingfacebluesmiling,0
2024-10-07 11:05:16,feliciaa,inf yh msi longar?,inf yh msi longar,0
2024-10-07 11:05:17,Rafellio Adjio Rajendra,oke kak arif,oke kak arif,0
2024-10-07 11:05:22,Gregorius Dody Endrajaya,"selamat ulang tahun jogja, associate k24 nyimak :grinning_face_with_sweat:",selamat ulang tahun jogja associate k24 nyimak,0
2024-10-07 11:05:32,Meilda Zahra Wafa',dari arah timur padat blm yah?,dari arah timur padat blm yah,0
2024-10-07 11:05:33,Galuh Cahyani,parkir di rama sakti longgar,parkir di rama sakti longgar,0
2024-10-07 11:05:36,Pipiet Agustin,om ku bukan tinggal di sini,om ku bukan tinggal di sini,0
2024-10-07 11:05:54,Ilham Dwi prasetyo,kiw,kiw,0
2024-10-07 11:05:56,Pipiet Agustin,makasih yang udah jawab bye,makasih yang udah jawab bye,0
2024-10-07 11:06:00,AHMAD F.R,mas cinifal ledemas,mas cinifal ledemas,0
2024-10-07 11:06:02,feliciaa,okk,okk,0
2024-10-07 11:06:05,Rafellio Adjio Rajendra,enak ya kalau ulang tahun berang jogja,enak ya kalau ulang tahun berang jogja,0
2024-10-07 11:06:09,Jonx Channel,saya jadi om yg disini aja:face-blue-smiling::face-blue-smiling:,saya jadi om yg disini ajafacebluesmilingfacebluesmiling,0
2024-10-07 11:06:13,arif ramadhan,aku kalo kakak ku udh Pulang jam 7 nonton jam segitu masih bisa ora min,aku kalo kakak ku udh pulang jam 7 nonton jam segitu masih bisa ora min,0
2024-10-07 11:06:16,feliciaa,acara mulai jm brp?,acara mulai jm brp,0
2024-10-07 11:06:17,sciren1020ツ,selamat ulang tahun jogja,selamat ulang tahun jogja,0
2024-10-07 11:06:23,Pipiet Agustin,sebenarnya aku kelas 2 smk,sebenarnya aku kelas 2 smk,0
2024-10-07 11:06:26,Adenaa,18.ep,18ep,0
2024-10-07 11:06:38,Adenaa,18.30 yaa mulai nyaa,1830 yaa mulai nyaa,0
2024-10-07 11:06:41,Galuh Cahyani,jam 4 tadi udah mulai,jam 4 tadi udah mulai,0
2024-10-07 11:06:43,nuryani sugeng,nuryani,nuryani,0
2024-10-07 11:06:56,Eko Budi,aku le cah Jogja Ra ISO nonton,aku le cah jogja ra iso nonton,0
2024-10-07 11:06:56,Rafellio Adjio Rajendra,selamat ulang tahun Jogja yang ke 268,selamat ulang tahun jogja yang ke 268,0
2024-10-07 11:07:01,feliciaa,okei,okei,0
2024-10-07 11:07:03,Darmo Sanjaya,lah kog naik nya cepet dek Aisyah,lah kog naik nya cepet dek aisyah,0
2024-10-07 11:07:13,kayyie alomani ^___^ ,nonton di rumah:virtualhug::virtualhug::virtualhug:,nonton di rumah,0
2024-10-07 11:07:17,Galuh Cahyani,kebak nonton seko omah wae haha,kebak nonton seko omah wae haha,0
2024-10-07 11:07:22,Pipiet Agustin,salam kenal .yang mau kenalan.yg nga mau ya ngausah gpp:smiling_face_with_tear:,salam kenal yang mau kenalanyg nga mau ya ngausah gpp,0
2024-10-07 11:07:34,Jonx Channel,jalur ordal om @darmo,jalur ordal om darmo,0
2024-10-07 11:07:35,Gunawan Sosro,ini dimana ya,ini dimana ya,0
2024-10-07 11:07:42,Pipiet Agustin,apanya yg naik cepat,apanya yg naik cepat,0
2024-10-07 11:07:45,Gunawan Sosro,malbor atau tugu,malbor atau tugu,0
2024-10-07 11:07:47,Eko Budi,rame ne,rame ne,0
2024-10-07 11:07:47,arif ramadhan,Jogja,jogja,0
2024-10-07 11:07:49,Galuh Cahyani,Malioboro,malioboro,0
2024-10-07 11:07:50,Adenaa,"padahal tugu deket bgt sm rumah tp ga kebagian tempat, kayak tahun lalu.",padahal tugu deket bgt sm rumah tp ga kebagian tempat kayak tahun lalu,0
2024-10-07 11:08:09,kayyie alomani ^___^ ,"tak tinggal makan dulu, nanti 18.30 saya balik sini lagii",tak tinggal makan dulu nanti 1830 saya balik sini lagii,0
2024-10-07 11:08:12,ItzMe_FailzV,Tugu,tugu,0
2024-10-07 11:08:16,Eko Budi,sabarr,sabarr,0
